"INICIO_SINTOMAS","MEDIANA_CASOS"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,2
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,1
2020-02-23,0
2020-02-24,1
2020-02-25,0
2020-02-26,2
2020-02-27,1
2020-02-28,1
2020-02-29,3
2020-03-01,6
2020-03-02,2
2020-03-03,1
2020-03-04,5
2020-03-05,1
2020-03-06,2
2020-03-07,3
2020-03-08,6
2020-03-09,8
2020-03-10,9
2020-03-11,4
2020-03-12,6
2020-03-13,16
2020-03-14,22
2020-03-15,37
2020-03-16,36
2020-03-17,32
2020-03-18,25
2020-03-19,27
2020-03-20,36
2020-03-21,15
2020-03-22,19
2020-03-23,16
2020-03-24,11
2020-03-25,14
2020-03-26,21
2020-03-27,21
2020-03-28,17
2020-03-29,13
2020-03-30,13
2020-03-31,7
2020-04-01,23
2020-04-02,9
2020-04-03,6
2020-04-04,12
2020-04-05,12
2020-04-06,13
2020-04-07,7
2020-04-08,12
2020-04-09,4
2020-04-10,14
2020-04-11,11
2020-04-12,6
2020-04-13,9
2020-04-14,5
2020-04-15,12
2020-04-16,10
2020-04-17,6
2020-04-18,12
2020-04-19,7
2020-04-20,25
2020-04-21,14
2020-04-22,11
2020-04-23,10
2020-04-24,4
2020-04-25,7
2020-04-26,6
2020-04-27,6
2020-04-28,10
2020-04-29,3
2020-04-30,4
2020-05-01,9
2020-05-02,1
2020-05-03,4
2020-05-04,9
2020-05-05,20
2020-05-06,11
2020-05-07,4
2020-05-08,13
2020-05-09,4
2020-05-10,5
2020-05-11,6
2020-05-12,16
2020-05-13,22
2020-05-14,12
2020-05-15,14
2020-05-16,5
2020-05-17,5
2020-05-18,13
2020-05-19,22
2020-05-20,19
2020-05-21,17
2020-05-22,16
2020-05-23,11
2020-05-24,16
2020-05-25,19
2020-05-26,21
2020-05-27,27
2020-05-28,31
2020-05-29,23
2020-05-30,23
2020-05-31,25
2020-06-01,32
2020-06-02,40
2020-06-03,45
2020-06-04,52
2020-06-05,67
2020-06-06,36
2020-06-07,24
2020-06-08,44
2020-06-09,46
2020-06-10,54
2020-06-11,28
2020-06-12,64
2020-06-13,40
2020-06-14,54
2020-06-15,71
2020-06-16,90
2020-06-17,85
2020-06-18,85
2020-06-19,130
2020-06-20,112
2020-06-21,103
2020-06-22,151
2020-06-23,118
2020-06-24,144
2020-06-25,131
2020-06-26,120
2020-06-27,113
2020-06-28,119
2020-06-29,118
2020-06-30,119
2020-07-01,119
2020-07-02,120
2020-07-03,121
2020-07-04,122
2020-07-05,123
2020-07-06,123
2020-07-07,124
2020-07-08,125
2020-07-09,126
2020-07-10,127
2020-07-11,127
2020-07-12,128
2020-07-13,129
2020-07-14,130
