"PUBLICACAO","DECRETO","INDICE","CLASSIFICACAO",".","D_1_Rt","D_1_Rt_025","D_1_Rt_975","D_10_Rt","D_10_Rt_025","D_10_Rt_975","D_11_Rt","D_11_Rt_025","D_11_Rt_975","D_12_Rt","D_12_Rt_025","D_12_Rt_975","D_13_Rt","D_13_Rt_025","D_13_Rt_975","D_14_Rt","D_14_Rt_025","D_14_Rt_975","D_2_Rt","D_2_Rt_025","D_2_Rt_975","D_3_Rt","D_3_Rt_025","D_3_Rt_975","D_4_Rt","D_4_Rt_025","D_4_Rt_975","D_5_Rt","D_5_Rt_025","D_5_Rt_975","D_6_Rt","D_6_Rt_025","D_6_Rt_975","D_7_Rt","D_7_Rt_025","D_7_Rt_975","D_8_Rt","D_8_Rt_025","D_8_Rt_975","D_9_Rt","D_9_Rt_025","D_9_Rt_975","ANALISE","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","D13","D14"
"2020-03-13",21340,-0.7308,"Aumenta medidas de distanciamento",".",2.028,1.109,3.22,3.761,1.72,6.587,5.314,2.548,9.079,3.275,1.063,6.708,2.603,0.537,6.269,4.434,1.208,9.719,3.209,1.902,4.852,2.892,1.619,4.53,1.875,0.899,3.203,1.086,0.399,2.112,0.738,0.201,1.619,1.345,0.541,2.509,1.51,0.607,2.817,1.163,0.317,2.55,"Consonante","2.028 (1.109-3.22)","3.209 (1.902-4.852)","2.892 (1.619-4.53)","1.875 (0.899-3.203)","1.086 (0.399-2.112)","0.738 (0.201-1.619)","1.345 (0.541-2.509)","1.51 (0.607-2.817)","1.163 (0.317-2.55)","3.761 (1.72-6.587)","5.314 (2.548-9.079)","3.275 (1.063-6.708)","2.603 (0.537-6.269)","4.434 (1.208-9.719)"
"2020-03-16",21347,-0.3462,"Aumenta medidas de distanciamento",".",3.297,2.344,4.409,1.336,0.537,2.492,1.5,0.603,2.799,1.157,0.315,2.535,3.755,1.717,6.577,5.297,2.54,9.049,2.11,1.337,3.055,1.195,0.597,1.998,1.961,1.072,3.114,3.14,1.861,4.748,2.844,1.592,4.454,1.844,0.884,3.151,1.075,0.394,2.09,0.733,0.2,1.607,"Consonante","3.297 (2.344-4.409)","2.11 (1.337-3.055)","1.195 (0.597-1.998)","1.961 (1.072-3.114)","3.14 (1.861-4.748)","2.844 (1.592-4.454)","1.844 (0.884-3.151)","1.075 (0.394-2.09)","0.733 (0.2-1.607)","1.336 (0.537-2.492)","1.5 (0.603-2.799)","1.157 (0.315-2.535)","3.755 (1.717-6.577)","5.297 (2.54-9.049)"
"2020-03-18",21354,-0.3462,"Mantem medidas de distanciamento",".",4.147,3.256,5.144,1.075,0.394,2.09,0.733,0.2,1.607,1.336,0.537,2.492,1.5,0.603,2.799,1.157,0.315,2.535,4.434,3.383,5.624,3.297,2.344,4.409,2.11,1.337,3.055,1.195,0.597,1.998,1.961,1.072,3.114,3.14,1.861,4.748,2.844,1.592,4.454,1.844,0.884,3.151,"Dissonante","4.147 (3.256-5.144)","4.434 (3.383-5.624)","3.297 (2.344-4.409)","2.11 (1.337-3.055)","1.195 (0.597-1.998)","1.961 (1.072-3.114)","3.14 (1.861-4.748)","2.844 (1.592-4.454)","1.844 (0.884-3.151)","1.075 (0.394-2.09)","0.733 (0.2-1.607)","1.336 (0.537-2.492)","1.5 (0.603-2.799)","1.157 (0.315-2.535)"
"2020-03-19",21357,-0.1538,"Aumenta medidas de distanciamento",".",2.683,2.088,3.352,1.844,0.884,3.151,1.075,0.394,2.09,0.733,0.2,1.607,1.336,0.537,2.492,1.501,0.603,2.799,4.147,3.256,5.144,4.434,3.383,5.624,3.297,2.344,4.409,2.11,1.337,3.055,1.195,0.597,1.998,1.961,1.072,3.114,3.14,1.861,4.748,2.844,1.592,4.454,"Consonante","2.683 (2.088-3.352)","4.147 (3.256-5.144)","4.434 (3.383-5.624)","3.297 (2.344-4.409)","2.11 (1.337-3.055)","1.195 (0.597-1.998)","1.961 (1.072-3.114)","3.14 (1.861-4.748)","2.844 (1.592-4.454)","1.844 (0.884-3.151)","1.075 (0.394-2.09)","0.733 (0.2-1.607)","1.336 (0.537-2.492)","1.501 (0.603-2.799)"
"2020-03-27",21368,0.3846,"Aumenta medidas de distanciamento",".",0.53,0.346,0.752,4.147,3.256,5.144,4.434,3.383,5.624,3.297,2.344,4.409,2.11,1.337,3.055,1.195,0.597,1.998,0.522,0.347,0.732,0.637,0.446,0.861,0.618,0.43,0.839,0.943,0.705,1.217,1.224,0.943,1.542,1.154,0.864,1.484,1.604,1.218,2.043,2.683,2.088,3.352,"Consonante","0.53 (0.346-0.752)","0.522 (0.347-0.732)","0.637 (0.446-0.861)","0.618 (0.43-0.839)","0.943 (0.705-1.217)","1.224 (0.943-1.542)","1.154 (0.864-1.484)","1.604 (1.218-2.043)","2.683 (2.088-3.352)","4.147 (3.256-5.144)","4.434 (3.383-5.624)","3.297 (2.344-4.409)","2.11 (1.337-3.055)","1.195 (0.597-1.998)"
"2020-04-07",21421,0.3462,"Flexibiliza medidas de distanciamento",".",0.912,0.59,1.302,1.106,0.8,1.46,0.821,0.575,1.11,0.53,0.346,0.752,0.522,0.347,0.732,0.637,0.446,0.861,0.655,0.395,0.981,0.539,0.308,0.834,1.05,0.723,1.438,0.914,0.621,1.262,0.592,0.366,0.87,0.754,0.497,1.064,0.878,0.596,1.212,1.088,0.774,1.455,"Dissonante","0.912 (0.59-1.302)","0.655 (0.395-0.981)","0.539 (0.308-0.834)","1.05 (0.723-1.438)","0.914 (0.621-1.262)","0.592 (0.366-0.87)","0.754 (0.497-1.064)","0.878 (0.596-1.212)","1.088 (0.774-1.455)","1.106 (0.8-1.46)","0.821 (0.575-1.11)","0.53 (0.346-0.752)","0.522 (0.347-0.732)","0.637 (0.446-0.861)"
"2020-04-12",21444,0.3846,"Aumenta medidas de distanciamento",".",0.857,0.516,1.283,0.914,0.621,1.262,0.592,0.366,0.87,0.754,0.497,1.064,0.878,0.596,1.213,1.088,0.774,1.455,0.741,0.432,1.133,0.857,0.524,1.272,0.883,0.547,1.299,1.032,0.674,1.464,0.912,0.59,1.302,0.655,0.395,0.981,0.539,0.308,0.834,1.05,0.723,1.438,"Consonante","0.857 (0.516-1.283)","0.741 (0.432-1.133)","0.857 (0.524-1.272)","0.883 (0.547-1.299)","1.032 (0.674-1.464)","0.912 (0.59-1.302)","0.655 (0.395-0.981)","0.539 (0.308-0.834)","1.05 (0.723-1.438)","0.914 (0.621-1.262)","0.592 (0.366-0.87)","0.754 (0.497-1.064)","0.878 (0.596-1.213)","1.088 (0.774-1.455)"
"2020-04-17",21459,0.3462,"Flexibiliza medidas de distanciamento",".",0.933,0.553,1.411,1.032,0.674,1.464,0.912,0.59,1.302,0.656,0.395,0.982,0.54,0.308,0.834,1.051,0.724,1.439,0.75,0.42,1.174,0.797,0.456,1.232,0.895,0.53,1.353,1.236,0.807,1.754,0.857,0.516,1.283,0.741,0.432,1.133,0.857,0.524,1.272,0.883,0.547,1.299,"Dissonante","0.933 (0.553-1.411)","0.75 (0.42-1.174)","0.797 (0.456-1.232)","0.895 (0.53-1.353)","1.236 (0.807-1.754)","0.857 (0.516-1.283)","0.741 (0.432-1.133)","0.857 (0.524-1.272)","0.883 (0.547-1.299)","1.032 (0.674-1.464)","0.912 (0.59-1.302)","0.656 (0.395-0.982)","0.54 (0.308-0.834)","1.051 (0.724-1.439)"
"2020-04-20",21469,0.3462,"Mantem medidas de distanciamento",".",1.075,0.647,1.61,0.742,0.432,1.133,0.858,0.524,1.272,0.883,0.547,1.299,1.032,0.674,1.465,0.913,0.591,1.304,0.97,0.565,1.482,1.262,0.8,1.827,0.933,0.553,1.411,0.75,0.42,1.174,0.797,0.456,1.232,0.895,0.53,1.354,1.236,0.807,1.754,0.857,0.516,1.283,"Dissonante","1.075 (0.647-1.61)","0.97 (0.565-1.482)","1.262 (0.8-1.827)","0.933 (0.553-1.411)","0.75 (0.42-1.174)","0.797 (0.456-1.232)","0.895 (0.53-1.354)","1.236 (0.807-1.754)","0.857 (0.516-1.283)","0.742 (0.432-1.133)","0.858 (0.524-1.272)","0.883 (0.547-1.299)","1.032 (0.674-1.465)","0.913 (0.591-1.304)"
"2020-04-21",21471,0.1923,"Flexibiliza medidas de distanciamento",".",1.12,0.684,1.661,0.857,0.516,1.283,0.742,0.432,1.134,0.858,0.524,1.272,0.884,0.547,1.3,1.033,0.675,1.466,1.075,0.647,1.61,0.97,0.565,1.482,1.262,0.8,1.827,0.933,0.553,1.411,0.75,0.42,1.174,0.797,0.456,1.232,0.895,0.53,1.354,1.236,0.807,1.754,"Dissonante","1.12 (0.684-1.661)","1.075 (0.647-1.61)","0.97 (0.565-1.482)","1.262 (0.8-1.827)","0.933 (0.553-1.411)","0.75 (0.42-1.174)","0.797 (0.456-1.232)","0.895 (0.53-1.354)","1.236 (0.807-1.754)","0.857 (0.516-1.283)","0.742 (0.432-1.134)","0.858 (0.524-1.272)","0.884 (0.547-1.3)","1.033 (0.675-1.466)"
